hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,day_of_week,month,is_weekend,is_workday,season_numeric,outdoor_temp,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,building_bungalow,building_detached,building_end_terrace,building_mid_terrace,building_semi_detached,heating_demand_kwh,datetime,building_type
0.0,1.0,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,76.17184224590868,65.31601857512852,73.40063222228395,72.98960121849628,True,False,False,False,False,67.89165960894684,2022-01-03 00:00:00,bungalow
0.25881904510252074,0.9659258262890683,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,67.89165960894684,71.69200341521412,72.34559519334202,73.0429878980778,True,False,False,False,False,72.97328372517053,2022-01-03 01:00:00,bungalow
0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,72.97328372517053,72.97095255790208,71.49249412942983,73.06972066875572,True,False,False,False,False,73.61253905417213,2022-01-03 02:00:00,bungalow
0.7071067811865476,0.7071067811865476,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,73.61253905417213,73.28053057922855,73.43405648215851,73.0878796724184,True,False,False,False,False,73.71634666713288,2022-01-03 03:00:00,bungalow
0.8660254037844386,0.5000000000000001,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,73.71634666713288,73.3292788915818,73.68898676134461,73.10491282538285,True,False,False,False,False,73.73807456272881,2022-01-03 04:00:00,bungalow
0.9659258262890683,0.25881904510252074,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,73.73807456272881,73.27319784237024,73.74495613272576,73.12604821396391,True,False,False,False,False,73.78044716831558,2022-01-03 05:00:00,bungalow
1.0,6.123233995736766e-17,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,73.78044716831558,73.28023811650216,73.78000086779116,73.1485999954567,True,False,False,False,False,73.8214808723291,2022-01-03 06:00:00,bungalow
0.9659258262890683,-0.25881904510252063,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,73.8214808723291,73.42643106405747,73.81180106189218,73.1655601654973,True,False,False,False,False,73.83347514503185,2022-01-03 07:00:00,bungalow
0.8660254037844387,-0.4999999999999998,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,73.83347514503185,57.04522054607373,71.41830652061428,73.56367445709765,True,False,False,False,False,66.5999635444819,2022-01-03 08:00:00,bungalow
0.7071067811865476,-0.7071067811865475,0.051619667223253764,0.998666816288476,0,1,0,1,0,7.0,66.5999635444819,74.26629804323653,71.96774005223307,73.61381959976218,True,False,False,False,False,75.46978146718546,2022-01-03 09:00:00,bungalow
0.49999999999999994,-0.8660254037844387,0.051619667223253764,0.998666816288476,0,1,0,1,0,8.0,75.46978146718546,74.53216813846768,72.72343852047193,73.67916970023221,True,False,False,False,False,76.10057054974844,2022-01-03 10:00:00,bungalow
0.258819045102521,-0.9659258262890682,0.051619667223253764,0.998666816288476,0,1,0,1,0,9.0,76.10057054974844,74.43016544833115,75.91623608361907,73.75201098296522,True,False,False,False,False,76.17835623392331,2022-01-03 11:00:00,bungalow
