building_type,datetime,heating_demand_kwh,outdoor_temp,hour,day_of_week,month,day_of_year,is_weekend,is_workday,season_numeric,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
semi_detached,2022-01-11 22:00:00,80.86598506538317,0.6,22,1,1,11,0,1,0,79.55567688592932,78.24633947104839,79.3986797959871,67.21356102773852,-0.5000000000000004,0.8660254037844384,0.1882267098432442,0.9821256058680006
semi_detached,2022-01-11 23:00:00,81.78535544643626,0.7,23,1,1,11,0,1,0,80.86598506538317,77.89838064774811,80.73567246591625,67.37551831101719,-0.25881904510252157,0.9659258262890681,0.1882267098432442,0.9821256058680006
semi_detached,2022-01-12 00:00:00,32.3119140886945,0.7,0,2,1,12,0,1,0,81.78535544643626,37.32331966884089,64.98775153350466,67.16670974517776,0.0,1.0,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 01:00:00,50.80445985910745,0.3,1,2,1,12,0,1,0,32.3119140886945,62.01762926333304,54.967243131412744,66.69949435333503,0.25881904510252074,0.9659258262890683,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 02:00:00,53.148161330852645,0.3,2,2,1,12,0,1,0,50.80445985910745,66.10361548804622,45.42151175955154,66.15968376345195,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 03:00:00,53.387865926659686,0.3,3,2,1,12,0,1,0,53.148161330852645,67.59479646812747,52.44682903887327,65.56772832422412,0.7071067811865476,0.7071067811865476,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 04:00:00,53.87764969642517,0.5,4,2,1,12,0,1,0,53.387865926659686,68.58360606242688,53.471225651312515,64.95498014230739,0.8660254037844386,0.5000000000000001,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 05:00:00,54.53883266168381,0.4,5,2,1,12,0,1,0,53.87764969642517,69.16570113674109,53.93478276158957,64.34552728918,0.9659258262890683,0.25881904510252074,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 06:00:00,55.09165283877581,0.6,6,2,1,12,0,1,0,54.53883266168381,69.60701977693917,54.50271173229495,63.74072033342319,1.0,6.123233995736766e-17,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 07:00:00,55.474320946999335,1.0,7,2,1,12,0,1,0,55.09165283877581,70.00214050746834,55.03493548248633,63.13539451840365,0.9659258262890683,-0.25881904510252063,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 08:00:00,28.755405141897082,1.0,8,2,1,12,0,1,0,55.474320946999335,5.851424375273023,46.440459642557414,64.08972705034633,0.8660254037844387,-0.4999999999999998,0.2051044998686192,0.9787400799669153
